temp_min,temp_max,rain ,,wind_speed,humidity,pressure,,,CloudBurstTomorrow,,,,
13.4,22.9,0.6,,24,71,1007.7,,,0,,,,
7.4,25.1,0,,22,44,1010.6,,,0,,,,
12.9,25.7,0,,26,38,1007.6,,,0,,,,
9.2,28,0,,9,45,1017.6,,,0,,,,
17.5,32.3,1,,20,82,1010.8,,,0,,,,
14.6,29.7,0.2,,24,55,1009.2,,,0,,,,
14.3,25,0,,24,49,1009.6,,,0,,,,
7.7,26.7,0,,17,48,1013.4,,,0,,,,
9.7,31.9,0,,28,42,1008.9,,,1,,,,
13.1,30.1,1.4,,11,58,1007,,,0,,,,
13.4,30.4,0,,6,48,1011.8,,,1,,,,
15.9,21.7,2.2,,13,89,1010.5,,,1,,,,
15.9,18.6,15.6,,28,76,994.3,,,1,,,,
12.6,21,3.6,,20,65,1001.2,,,0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
14.1,20.9,0,,9,69,1012.2,,,1,,,,
13.5,22.9,16.8,,20,80,1005.8,,,1,,,,
11.2,22.5,10.6,,17,47,1009.4,,,0,,,,
9.8,25.6,0,,6,45,1019.2,,,0,,,,
11.5,29.3,0,,9,56,1019.3,,,0,,,,
17.1,33,0,,22,38,1013.6,,,0,,,,
20.5,31.8,0,,20,54,1007.8,,,0,,,,
15.3,30.9,0,,13,55,1011,,,0,,,,
12.6,32.4,0,,19,49,1012.9,,,0,,,,
16.2,33.9,0,,13,45,1010.9,,,0,,,,
16.9,33,0,,26,41,1006.8,,,0,,,,
20.1,32.7,0,,30,56,1005.2,,,0,,,,
19.7,27.2,0,,30,49,1004.8,,,1,,,,
12.5,24.2,1.2,,22,78,1005.6,,,0,,,,
12,24.4,0.8,,17,48,1006.1,,,0,,,,
11.3,26.5,0,,31,46,1004.5,,,0,,,,
9.6,23.9,0,,11,44,1014.4,,,0,,,,
10.5,28.8,0,,7,43,1018.7,,,0,,,,
12.3,34.6,0,,17,41,1015.1,,,0,,,,
12.9,35.8,0,,26,41,1012.6,,,0,,,,
13.7,37.9,0,,26,33,1010.9,,,0,,,,
16.1,38.9,0,,30,34,1007,,,0,,,,
14,28.3,0,,24,43,1011.9,,,0,,,,
12.5,28.4,0,,9,38,1017.8,,,0,,,,
17,30.8,0,,11,36,1013.4,,,0,,,,
16.9,32,0,,17,52,1009.9,,,0,,,,
17.3,34.7,0,,15,48,1014.1,,,0,,,,
17.2,37.7,0,,17,51,1015.7,,,0,,,,
17.4,43,0,,17,40,1011.6,,,0,,,,
19.8,32.7,0,,28,34,1008.4,,,0,,,,
14.9,26.7,0,,31,46,1014.1,,,0,,,,
10.5,28.4,0,,11,35,1019.7,,,0,,,,
11.3,32.2,0,,15,34,1019.7,,,0,,,,
13.9,36.6,0,,15,39,1015.8,,,0,,,,
18.6,39.9,0,,20,36,1010.1,,,0,,,,
19.3,38.1,0.8,,17,48,1009.6,,,0,,,,
24.4,34,0.6,,48,60,1005.3,,,1,,,,
18.8,35.2,6.4,,28,43,1007.9,,,0,,,,
20.8,30.6,0,,28,41,1005.4,,,0,,,,
14,34.3,0,,13,44,1016.5,,,0,,,,
15.7,38.4,0,,7,48,1017.7,,,0,,,,
18.5,38.2,0,,17,48,1017.8,,,0,,,,
20.4,40.7,0,,13,45,1014.9,,,0,,,,
21.8,41.5,0,,11,38,1015.7,,,0,,,,
