temp_min,temp_max,rain,wind_gust,wind_speed,humidity,pressure,clouds,CloudBurstToday,CloudBurstTomorrow
8.4,24.6,0,NA,30,57,1009.7,NA,0,NA
2.6,NA,0,NA,13,71,1017.8,NA,0,NA
22.1,35.1,0,NA,11,58,1020.9,NA,0,NA
21.5,35,0,NA,7,76,1015.8,NA,0,NA
15.5,30.6,0,NA,11,66,1015.9,NA,0,NA
17.2,NA,0,NA,9,54,1024.6,NA,0,NA
14.4,NA,0,NA,20,50,1018.5,6,0,NA
8.8,NA,0,NA,11,69,1023.7,NA,0,NA
1.2,9.6,0,NA,7,94,1019.8,8,0,NA
4,NA,0.2,NA,30,79,1015.9,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,15.8,NA,NA,9,NA,NA,NA,NA,NA
3.2,14.4,2,NA,24,64,1010.6,NA,1,NA
7.5,24.3,0,NA,22,50,1015.5,NA,0,NA
3.9,NA,0,NA,NA,72,1028.6,NA,0,NA
7.7,21.9,NA,NA,7,77,1030.7,1,NA,NA
4.7,22.3,NA,NA,9,81,1031.7,NA,NA,NA
11.1,26,0,28,11,68,1007.7,NA,0,NA
11,14.6,1.4,NA,11,100,1026.2,8,1,NA
3.4,NA,0,NA,11,67,1030.6,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,24.1,NA,NA,11,NA,NA,NA,NA,NA
3.8,18.4,0,39,28,65,1024.2,NA,0,NA
7.6,22.4,0,67,20,54,1010.9,NA,0,NA
18.6,36,0,69,30,35,1004.9,6,0,NA
20,33.1,0,37,13,59,1016.8,NA,0,NA
20.1,25.2,NA,33,6,100,1013.9,8,NA,NA
19.6,26.6,NA,31,11,99,1013.1,6,NA,NA
0,15.3,0,NA,19,53,1021.4,NA,0,NA
10,16.6,1.4,15,11,100,1024.1,NA,1,NA
10.5,17.1,7,24,6,93,1022.3,NA,1,NA
12.3,16.7,14.6,50,20,97,1024.5,NA,1,NA
NA,17.3,NA,19,4,NA,1030.1,NA,NA,NA
17,29.9,0,NA,22,26,1012.9,NA,0,NA
19.4,24.1,0,NA,17,70,1018.6,NA,0,NA
17.9,29.8,NA,NA,17,84,1022.1,NA,NA,NA
17,25.3,1.4,31,11,94,1017.1,NA,1,NA
16.6,30.9,5.6,NA,19,99,1008.9,NA,1,NA
20,28,19.8,NA,28,90,1015.1,NA,1,NA
19.3,33.1,0,NA,11,82,1017.4,NA,0,NA
19.6,36.6,NA,NA,13,80,1009,NA,NA,NA
15.2,27.1,0,NA,11,68,1017.1,NA,0,NA
18.3,35.8,0,NA,17,76,1015.8,NA,0,NA
13.8,31.6,0,NA,9,86,1022,NA,0,NA
19.8,30.8,0,43,28,82,1011.8,NA,0,NA
14.9,28.7,NA,35,19,57,1013.9,NA,NA,NA
12.2,33,0,NA,7,99,1022.8,NA,0,NA
11.3,30.4,0.2,NA,7,69,1021.3,NA,0,NA
6.5,NA,0,NA,NA,66,1025.8,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.2,19.5,0.4,NA,30,92,1013,NA,0,NA
3.4,20.7,NA,NA,NA,NA,NA,NA,NA,NA
4,24.1,0,NA,7,61,1022.6,NA,0,NA
5.7,22.1,0,NA,9,52,1018.3,NA,0,NA
10.6,18.1,0,NA,11,77,1018.9,NA,0,NA
11.2,NA,3.6,NA,7,100,1012,NA,1,NA
9.8,20.4,1,NA,15,99,1021.5,NA,0,NA
5.5,17.8,0,26,9,79,1033.3,NA,0,NA
-1.2,15,0,NA,4,82,1020.3,NA,0,NA
4.6,17.3,0,20,9,100,1029,NA,0,NA
8.2,18.8,0,NA,11,52,1012.9,NA,0,NA
0.5,19.9,0,NA,20,84,1020.9,NA,0,NA
8.1,14.2,0,NA,9,87,1017.3,NA,0,NA
14.7,24.2,0.2,NA,41,83,999.1,NA,0,NA
10.6,25.6,0,NA,19,67,1019.1,NA,0,NA
4.8,25.3,0,NA,9,100,1026.9,NA,0,NA
13.7,22.4,0,NA,NA,65,1020.2,NA,0,NA
18.3,31.4,0,NA,22,64,1013.3,NA,0,NA
